"length(which_indiv)" "ownership" "headsex" "headrace" "headhisp" "headage"
3 1 1 1 1 32
1 1 2 8 1 72
2 1 1 1 1 63
3 1 1 1 1 34
1 1 1 1 1 85
2 1 2 2 1 58
3 1 1 1 1 46
2 2 2 2 1 31
1 1 2 1 1 29
1 2 1 1 5 31
1 1 2 1 1 59
1 2 1 1 1 63
3 1 2 1 1 38
1 2 1 1 1 56
1 1 1 1 1 79
1 1 1 1 1 76
3 1 2 1 1 47
1 1 2 2 1 69
1 1 1 1 1 54
1 2 2 6 1 50
1 1 2 1 1 60
1 2 2 1 1 36
3 1 1 1 1 42
2 1 1 1 1 50
3 2 2 2 1 40
1 2 1 1 1 48
3 1 2 1 1 39
3 1 2 1 2 62
2 1 2 1 1 45
1 1 1 1 1 70
1 1 2 1 1 56
1 1 1 1 1 75
2 1 2 1 1 77
1 1 1 1 1 63
1 1 1 1 1 94
1 2 1 1 1 61
3 1 2 1 1 48
1 1 1 1 1 39
3 1 1 1 1 46
2 1 1 1 1 54
2 1 2 1 1 47
1 2 1 1 1 75
1 2 2 1 1 40
2 2 2 2 1 33
1 1 1 1 1 63
1 1 1 1 1 67
1 1 2 1 1 65
3 2 2 2 1 36
1 1 2 1 1 54
1 1 2 1 1 43
2 2 2 4 1 23
3 2 1 1 1 48
3 2 2 1 2 42
1 1 2 1 1 30
1 1 2 1 1 49
3 2 1 2 1 30
1 1 1 1 1 50
3 1 2 1 1 60
1 1 1 1 1 24
2 1 2 1 1 52
1 2 2 2 1 63
1 1 2 1 1 54
3 2 1 1 1 54
1 2 2 2 1 55
2 2 2 1 1 28
1 1 2 1 1 72
3 2 2 1 1 47
1 1 2 1 1 44
1 1 1 1 1 79
2 1 2 1 1 58
1 1 1 1 1 58
1 1 1 1 1 54
1 1 1 1 1 55
1 1 1 1 2 69
2 1 2 1 1 63
1 1 1 1 1 51
2 2 1 1 1 25
1 2 2 1 4 46
3 1 1 1 1 61
2 2 2 4 1 50
2 1 2 1 1 57
1 1 1 1 1 63
1 1 2 2 1 40
1 1 1 2 1 55
1 1 1 1 1 51
3 2 1 9 5 40
1 1 2 1 1 46
1 1 1 1 1 57
2 1 2 6 1 41
3 2 2 1 5 43
1 1 1 1 1 58
2 1 1 1 1 54
1 1 1 1 1 68
1 1 1 4 1 44
1 1 1 1 1 79
2 2 1 1 2 22
2 2 2 1 1 26
1 1 2 1 1 75
1 2 1 1 1 87
2 2 1 1 1 28
2 1 1 1 1 65
1 2 2 2 1 49
1 1 1 1 1 55
1 1 1 1 1 60
1 1 1 1 1 63
1 1 1 1 1 57
1 1 1 2 1 86
1 1 1 1 1 31
1 1 2 1 1 50
2 2 2 1 2 47
2 1 2 2 1 57
2 1 2 6 1 54
3 1 1 2 1 63
1 2 2 1 1 30
1 1 1 1 1 68
2 1 1 1 2 70
1 1 1 2 1 56
1 2 2 2 5 58
1 1 2 1 1 30
1 1 2 1 1 68
1 2 1 6 1 83
2 1 1 1 1 60
1 1 1 1 1 70
2 1 2 1 1 39
2 1 2 1 1 68
1 1 1 1 1 69
1 1 2 1 1 37
2 1 1 7 2 63
1 1 2 1 1 25
1 1 1 1 1 61
1 1 1 1 1 63
1 1 1 1 2 66
1 1 2 1 1 72
1 1 1 1 1 74
1 1 1 1 1 85
1 1 2 1 1 71
3 1 1 1 2 38
2 1 2 1 1 66
