"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
225 2 1 1 1 NA 2 1 2 NA NA 53
226 2 2 NA NA NA 2 1 1 1 1 77
227 2 NA 2 1 63 2 1 1 NA 1 65
228 2 1 1 1 NA 2 1 2 1 1 38
228 3 1 1 1 17 3 1 2 1 1 38
228 4 NA 1 1 11 3 1 2 1 1 38
229 2 1 NA 1 NA 2 1 NA NA NA 37
229 3 2 1 NA NA 3 1 NA NA NA 37
229 4 NA 1 1 4 NA 1 NA NA NA 37
230 2 2 1 1 53 2 1 1 NA 1 59
230 3 NA NA 1 25 3 1 1 NA 1 59
230 4 NA NA 1 21 NA 1 1 NA 1 59
231 2 1 NA 1 43 2 1 NA 1 1 45
231 3 2 1 1 19 3 1 NA 1 1 45
231 4 2 NA 1 16 3 1 NA 1 1 45
231 5 NA 1 1 9 3 1 NA 1 1 45
232 2 2 1 1 55 2 2 1 1 1 56
232 3 2 NA 1 13 NA 2 1 1 1 56
233 2 1 1 NA 81 2 NA NA 1 1 80
234 2 1 1 1 NA 3 1 1 1 1 44
234 3 NA 1 1 15 NA 1 1 1 1 44
234 4 2 1 1 NA 3 1 1 1 1 44
234 5 2 1 1 9 11 1 1 1 1 44
234 6 NA NA 1 NA 12 1 1 1 1 44
234 7 1 1 1 6 NA 1 1 1 1 44
235 2 1 NA NA 54 2 1 NA 4 1 51
235 3 2 4 1 25 3 1 NA 4 1 51
235 4 NA 4 1 NA 3 1 NA 4 1 51
236 2 2 2 1 27 3 2 2 NA 1 49
236 3 2 NA 2 21 3 2 2 NA 1 49
237 2 2 NA 1 42 2 1 1 1 1 53
237 3 2 1 1 12 NA 1 1 1 1 53
237 4 1 1 1 10 NA 1 1 1 1 53
238 2 1 1 1 14 3 1 NA 1 NA 43
238 3 1 NA 1 41 12 1 NA 1 NA 43
239 2 1 NA 1 15 3 1 1 NA 1 58
240 2 1 1 NA 30 12 2 1 1 1 30
241 2 NA NA 1 43 2 2 2 NA 1 47
242 2 NA 1 1 NA 2 1 1 NA 1 28
242 3 2 NA NA 5 NA 1 1 NA 1 28
242 4 NA 1 1 NA NA 1 1 NA 1 28
242 5 NA 1 NA 3 3 1 1 NA 1 28
243 2 NA NA NA NA NA 1 2 1 1 60
244 2 2 1 1 NA 2 1 NA 2 NA 35
244 3 1 8 1 18 5 1 NA 2 NA 35
245 2 NA NA 1 51 2 NA 1 NA 1 52
245 3 NA 1 1 18 3 NA 1 NA 1 52
246 2 1 1 1 21 NA 2 NA NA 1 27
247 2 2 NA 1 53 2 NA NA 1 1 58
247 3 1 NA 1 16 NA NA NA 1 1 58
248 2 2 2 1 17 NA 1 NA NA 1 43
249 2 2 1 1 55 2 1 1 NA 1 57
250 2 1 1 1 65 2 1 NA 1 1 60
251 2 1 NA 1 NA NA NA 2 2 NA 31
251 3 2 2 1 11 NA NA 2 2 NA 31
251 4 1 2 1 NA 3 NA 2 2 NA 31
251 5 1 2 1 5 NA NA 2 2 NA 31
251 6 2 NA 1 3 3 NA 2 2 NA 31
252 2 1 NA 1 8 3 NA 2 NA 1 45
253 2 1 NA NA 6 4 2 2 1 1 44
254 2 2 NA NA NA 2 1 1 1 2 51
254 3 NA 1 2 26 3 1 1 1 2 51
255 2 1 8 1 NA NA 1 1 NA 1 57
255 3 2 NA 1 NA NA 1 1 NA 1 57
256 2 2 1 NA NA 2 1 NA 1 NA 79
257 2 2 1 1 NA NA 1 1 NA 1 73
258 2 1 NA 1 22 NA 2 1 1 1 55
259 2 2 1 1 NA NA 1 1 NA 1 44
259 3 2 NA 1 14 NA 1 1 NA 1 44
259 4 1 NA NA 11 NA 1 1 NA 1 44
259 5 1 NA 1 8 3 1 1 NA 1 44
